Procurement_ID,Order_Date,Department_ID,Category_ID,Supplier_ID,Procurement_Method,Quantity,Estimated_Unit_Price_AZN,Actual_Unit_Price_AZN,Contract_Date,Expected_Delivery_Date,Actual_Delivery_Date,Status,Region,Quality_Score
PR-2025-00015,2025-01-15,DEP-004,CAT-022,SUP-058,Request for Quotation,39,1670.7,1543.08,2025-01-17,2025-02-17,,In Progress,Baku,
PR-2024-00016,2024-02-21,DEP-008,CAT-003,SUP-054,Framework Agreement,64,253.28,223.78,2024-03-02,2024-03-24,2024-03-26,Completed,Ganja,4.0
PR-2026-00017,2026-03-25,DEP-001,CAT-018,SUP-081,Request for Quotation,11,16185.99,17028.34,2026-03-29,2026-04-24,2026-05-04,Completed,Baku,4.4
PR-2024-00018,2024-03-05,DEP-004,CAT-020,SUP-016,Open Tender,293,2.11,1.93,2024-03-08,2024-03-20,2024-04-03,Completed,Baku,3.4
PR-2026-00019,2026-07-18,DEP-008,CAT-006,SUP-054,Request for Quotation,18,1750.14,1776.88,2026-08-07,2026-08-19,2026-08-19,Completed,Ganja,3.8
PR-2024-00020,2024-01-19,DEP-001,CAT-006,SUP-100,Request for Quotation,47,620.73,692.39,2024-01-31,2024-02-27,2024-03-06,Completed,Sumgayit,5.0
PR-2024-00021,2024-02-03,DEP-011,CAT-008,SUP-009,Request for Quotation,582,133.04,134.46,2024-02-08,2024-02-16,2024-02-20,Completed,Absheron,3.9
PR-2025-00022,2025-08-15,DEP-001,CAT-003,SUP-101,Direct Purchase,48,563.68,567.29,2025-09-11,2025-10-22,2025-10-16,Completed,Sumgayit,3.9
PR-2026-00023,2026-03-29,DEP-008,CAT-011,SUP-031,Framework Agreement,12,11015.04,11147.3,2026-04-01,2026-05-16,2026-05-25,Completed,Ganja,4.6
PR-2024-00024,2024-05-21,DEP-004,CAT-004,SUP-001,Request for Quotation,55,6840.28,6546.04,2024-05-27,2024-06-23,2024-06-25,Completed,Baku,4.3
PR-2024-00025,2024-08-05,DEP-006,CAT-008,SUP-064,Open Tender,55,151.94,131.89,2024-08-18,2024-09-09,2024-09-08,Completed,Shaki,4.1
PR-2024-00026,2024-05-30,DEP-010,CAT-002,SUP-061,Open Tender,64,2158.5,1844.53,2024-06-09,2024-07-30,2024-07-24,Completed,Baku,4.5
PR-2026-00027,2026-05-10,DEP-012,CAT-017,SUP-071,Request for Quotation,101,311.28,344.11,2026-06-06,2026-08-01,2026-08-05,Completed,Baku,3.6
PR-2024-00028,2024-11-17,DEP-012,CAT-002,SUP-062,Open Tender,39,2399.81,2211.53,2024-11-20,2024-12-15,2024-12-31,Completed,Baku,4.1
PR-2026-00029,2026-08-07,DEP-008,CAT-019,SUP-095,Request for Quotation,534,387.11,361.92,2026-08-17,2026-08-24,2026-08-31,Completed,Mingachevir,5.0
PR-2026-00030,2026-07-06,DEP-005,CAT-010,,Request for Quotation,190,799.92,723.14,2026-07-10,2026-08-01,2026-08-04,Completed, BAKU ,4.2
PR-2024-00031,2024-03-23,DEP-011,CAT-008,SUP-068,Request for Quotation,618,209.31,197.01,2024-03-30,2024-05-18,2024-05-25,Completed,Baku,4.2
PR-2024-00032,2024-04-08,DEP-002,CAT-008,SUP-082,Open Tender,497,176.84,168.68,2024-05-06,2024-05-30,2024-06-01,Completed,Baku,4.2
PR-2025-00033,2025-02-17,DEP-002,CAT-016,SUP-006,Request for Quotation,1,1738.78,1747.6,2025-03-05,2025-03-20,2025-03-14,Completed,Baku,3.9
PR-2024-00034,2024-10-31,DEP-012,CAT-008,SUP-082,Open Tender,62,153.07,125.62,2024-11-20,2025-01-04,2025-01-03,Completed,Baku,5.0
PR-2024-00035,2024-05-09,DEP-008,CAT-019,SUP-044,Open Tender,99,2402.83,2079.27,2024-05-14,2024-06-01,2024-05-25,Completed,Ganja,4.5
PR-2025-00036,2025-06-19,DEP-004,CAT-011,SUP-024,Framework Agreement,11,2481.09,2436.77,2025-07-13,2025-08-29,,Pending,Baku,
PR-2026-00037,2026-04-16,DEP-003,CAT-017,SUP-112,Open Tender,71,2995.38,3307.38,2026-04-30,2026-05-16,,In Progress,Baku,
PR-2026-00038,2026-01-17,DEP-008,CAT-002,SUP-054,Open Tender,34,1475.99,1288.93,2026-02-14,2026-03-14,2026-03-06,Completed,Ganja,3.7
PR-2026-00039,2026-05-04,DEP-009,CAT-008,SUP-084,Open Tender,786,67.27,57.86,2026-05-14,2026-07-03,,In Progress,Absheron,
PR-2024-00040,2024-06-21,DEP-004,CAT-009,SUP-022,Open Tender,50,320.41,299.19,2024-07-16,2024-09-06,2024-09-03,Completed,Baku,4.1
PR-2026-00041,2026-05-30,DEP-007,CAT-007,SUP-064,Request for Quotation,492,15.54,16.96,2026-06-16,2026-07-10,2026-07-16,Completed,Baku,4.8
PR-2024-00042,2024-12-05,DEP-002,CAT-015,SUP-083,Request for Quotation,2,15076.42,13702.37,2024-12-26,2025-02-24,2025-02-28,Completed,Baku,4.4
PR-2025-00043,2025-08-13,DEP-002,CAT-015,SUP-006,Open Tender,2,4588.16,5207.57,2025-08-23,2025-09-30,,In Progress,Baku,
PR-2026-00044,2026-07-09,DEP-003,CAT-014,SUP-057,Request for Quotation,11,1268.03,1220.65,2026-07-20,2026-08-30,2026-08-23,Completed,Baku,4.1
PR-2025-00045,2025-07-08,DEP-010,CAT-010,SUP-045,Open Tender,2,165.15,141.23,2025-07-17,2025-08-22,,In Progress,Baku,
PR-2026-00046,2026-03-14,DEP-007,CAT-022,SUP-102,Request for Quotation,7,4549.68,4314.26,2026-03-19,2026-05-06,2026-05-27,Completed,Baku,3.0
PR-2025-00047,2025-04-21,DEP-010,CAT-019,SUP-118,Request for Quotation,111,725.63,669.76,2025-05-03,2025-06-07,2025-06-06,Completed,Baku,3.3
PR-2025-00048,2025-08-08,DEP-006,CAT-007,SUP-064,Framework Agreement,304,3.02,2.67,2025-08-30,2025-10-23,2025-10-18,Completed,Baku,4.7
PR-2025-00049,2025-05-23,DEP-003,CAT-017,SUP-108,Open Tender,25,146.9,148.51,2025-05-25,2025-06-14,2025-06-21,Completed,Absheron,3.4
PR-2024-00050,2024-02-08,DEP-002,CAT-015,SUP-043,Open Tender,3,8471.64,7581.34,2024-03-01,2024-03-24,2024-03-17,Completed,Baku,4.6
PR-2026-00051,2026-02-04,DEP-007,CAT-007,SUP-064,Open Tender,517,21.46,19.09,2026-03-04,2026-05-01,2026-04-23,Completed,Baku,4.1
PR-2026-00052,2026-04-01,DEP-009,CAT-012,SUP-029,Direct Purchase,9,4420.0,4672.43,2026-04-25,2026-06-06,2026-06-07,Completed,Baku,3.4
PR-2025-00053,2025-06-23,DEP-001,CAT-005,SUP-107,Open Tender,42,933.9,1051.98,2025-06-30,2025-07-22,2025-07-31,Completed,Baku,4.1
PR-2025-00054,2025-10-19,DEP-007,CAT-007,SUP-086,Request for Quotation,619,3.67,3.51,2025-11-03,2025-11-12,2025-11-12,Completed,Baku,4.2
PR-2024-00055,2024-10-08,DEP-001,CAT-004,SUP-100,Framework Agreement,57,2371.0,2253.11,2024-10-27,2024-11-24,2024-11-26,Completed,Baku,5.0
PR-2026-00056,2026-08-07,DEP-012,CAT-003,SUP-001,Direct Purchase,45,811.11,867.51,2026-09-01,2026-09-20,2026-09-13,Completed,Ganja,4.3
PR-2024-00057,2024-07-03,DEP-007,CAT-024,SUP-033,Direct Purchase,457,31.02,33.0,2024-07-25,2024-08-08,2024-08-03,Completed,Baku,4.8
PR-2024-00058,2024-04-06,DEP-006,CAT-008,SUP-020,Direct Purchase,263,180.09,182.67,2024-05-02,2024-06-21,2024-06-19,Completed,Baku,4.2
PR-2026-00059,2026-07-23,DEP-008,CAT-006,SUP-048,Open Tender,52,2921.92,2780.85,2026-08-20,2026-08-28,2026-09-15,Completed,Ganja,4.6
PR-2026-00060,2026-02-13,DEP-006,CAT-018,SUP-078,Request for Quotation,6,1204.04,1390.87,2026-02-18,2026-04-09,2026-04-14,Completed,Baku,5.0
PR-2024-00061,2024-03-30,DEP-001,CAT-006,SUP-116,Request for Quotation,18,6896.87,7668.5,2024-04-02,2024-04-13,,In Progress,Baku,
PR-2026-00062,2026-02-18,DEP-009,CAT-008,SUP-084,Framework Agreement,803,42.33,40.78,2026-03-09,2026-03-21,2026-03-17,Completed,Baku,4.8
PR-2024-00063,2024-05-11,DEP-004,CAT-020,SUP-118,Open Tender,529,2.31,2.16,2024-05-20,2024-06-26,2024-07-08,Completed,Baku,3.5
PR-2026-00064,2026-01-15,DEP-008,CAT-003,SUP-054,Request for Quotation,53,767.83,768.1,2026-01-28,2026-02-04,2026-02-05,Completed,Baku,3.8
PR-2024-00065,2024-01-11,DEP-001,CAT-004,SUP-025,Open Tender,52,2810.53,2473.7,2024-02-01,2024-03-19,,In Progress,Baku,
PR-2026-00066,2026-05-25,DEP-004,CAT-019,SUP-067,Framework Agreement,763,207.88,205.4,2026-06-21,2026-08-14,2026-08-19,Completed,Lankaran,3.7
PR-2024-00067,2024-03-01,DEP-001,CAT-003,SUP-068,Open Tender,61,677.89,612.29,2024-03-14,2024-04-27,2024-05-01,Completed,Lankaran,4.9
PR-2025-00068,2025-05-30,DEP-005,CAT-011,SUP-066,Open Tender,4,2727.28,2493.74,2025-06-21,2025-07-31,2025-08-03,Completed,Baku,3.1
PR-2025-00069,2025-07-29,DEP-004,CAT-020,SUP-049,Open Tender,653,2.22,1.97,2025-08-25,2025-09-11,,Cancelled,Baku,
PR-2024-00070,2024-08-30,DEP-007,CAT-003,SUP-001,Open Tender,58,430.01,392.11,2024-09-11,2024-10-18,2024-10-22,Completed,Baku,3.8
PR-2024-00071,2024-09-21,DEP-004,CAT-020,SUP-050,Request for Quotation,598,1.59,1.47,2024-10-01,2024-11-15,2024-11-18,Completed,Lankaran,4.5
PR-2026-00072,2026-03-04,DEP-002,CAT-015,SUP-006,Request for Quotation,4,5833.34,5502.19,2026-03-10,2026-04-10,2026-04-13,Completed,Baku,3.4
PR-2025-00073,2025-03-18,DEP-004,CAT-019,SUP-067,Direct Purchase,914,240.27,227.31,2025-03-29,2025-05-09,2025-05-19,Completed,Baku,3.1
PR-2024-00074,2024-08-16,DEP-005,CAT-014,SUP-099,Request for Quotation,4,843.68,791.3,2024-09-05,2024-10-03,2024-10-11,Completed,Baku,4.3
PR-2025-00075,2025-11-24,DEP-010,CAT-024,SUP-060,Open Tender,236,400.91,342.45,2025-11-26,2026-01-02,2026-01-02,Completed,Baku,4.1
PR-2024-00076,2024-05-22,DEP-005,CAT-010,SUP-022,Request for Quotation,161,738.47,650.95,2024-06-05,2024-07-17,2024-07-19,Completed,Ganja,4.6
PR-2025-00077,2025-02-02,DEP-001,CAT-005,SUP-062,Request for Quotation,53,1184.45,1020.78,2025-02-10,2025-02-19,2025-02-18,Completed,Baku,3.9
PR-2026-00078,2026-06-24,DEP-011,CAT-015,SUP-080,Direct Purchase,3,5352.18,5410.86,2026-07-18,2026-08-09,2026-08-07,Completed,Baku,4.5
PR-2024-00079,2024-04-21,DEP-003,CAT-016,SUP-070,Direct Purchase,4,2241.18,2277.49,2024-04-27,2024-06-02,2024-06-03,Completed,Baku,4.0
PR-2024-00080,2024-07-14,DEP-012,CAT-017,SUP-071,Direct Purchase,34,687.82,716.98,2024-07-25,2024-08-05,2024-08-10,Completed,Baku,4.0
PR-2026-00081,2026-08-20,DEP-003,CAT-008,SUP-017,Open Tender,117,34.9,29.48,2026-09-14,2026-10-08,,Cancelled,Baku,
PR-2024-00082,2024-02-19,DEP-010,CAT-024,SUP-047,Open Tender,208,378.8,328.13,2024-03-05,2024-04-29,2024-04-27,Completed,Baku,4.9
PR-2025-00083,2025-03-01,DEP-010,CAT-018,SUP-015,Framework Agreement,1,1384.7,1343.2,2025-03-25,2025-05-08,2025-05-08,Completed,Baku,3.9
PR-2024-00084,2024-08-29,DEP-004,CAT-002,SUP-007,Open Tender,70,1600.98,1387.38,2024-09-11,2024-10-26,2024-10-24,Completed,Baku,4.9
PR-2025-00085,2025-08-13,DEP-005,CAT-014,SUP-099,Open Tender,6,3298.83,2840.68,2025-09-09,2025-10-06,2025-10-03,Completed,Baku,4.6
PR-2024-00086,2024-12-06,DEP-002,CAT-007,SUP-086,Open Tender,635,2.88,3.26,2024-12-10,2025-02-06,2025-02-04,Completed,Baku,4.4
PR-2024-00087,2024-10-31,DEP-006,CAT-015,SUP-026,Direct Purchase,3,1174.28,1186.91,2024-11-04,2024-12-11,2024-12-07,Completed,Shaki,4.1
PR-2025-00088,2025-08-04,DEP-004,CAT-001,SUP-007,Open Tender,48,2162.26,1990.2,2025-08-07,2025-08-16,,Cancelled,Baku,
PR-2025-00089,2025-02-12,DEP-012,CAT-017,SUP-060,Open Tender,34,1616.39,1474.5,2025-02-28,2025-04-08,2025-04-06,Completed,Baku,4.1
PR-2026-00090,2026-08-14,DEP-001,CAT-014,SUP-117,Request for Quotation,1,,241.9,2026-08-19,2026-09-23,,In Progress,Absheron,
PR-2024-00091,2024-01-09,DEP-001,CAT-023,SUP-105,Direct Purchase,237,45.83,41.34,2024-01-15,2024-03-10,2024-03-12,Completed,Baku,2.5
PR-2024-00092,2024-01-22,DEP-008,CAT-017,SUP-071,Request for Quotation,34,270.34,270.21,2024-02-04,2024-02-18,2024-02-18,Completed,Baku,3.9
PR-2026-00093,2026-05-20,DEP-006,CAT-015,SUP-026,Open Tender,4,16469.39,14090.56,2026-06-05,2026-07-07,2026-07-10,Completed,Baku,4.3
PR-2025-00094,2025-04-07,DEP-012,CAT-006,SUP-046,Framework Agreement,58,562.16,525.17,2025-04-16,2025-04-24,,Cancelled,Baku,
PR-2025-00095,2025-09-04,DEP-005,CAT-014,SUP-031,Open Tender,1,5325.57,4779.03,2025-09-27,2025-10-10,2025-10-11,Completed,Baku,4.5
PR-2024-00096,2024-05-02,DEP-005,CAT-017,SUP-097,Request for Quotation,90,862.88,984.19,2024-05-14,2024-06-05,2024-05-28,Completed,Baku,4.7
PR-2025-00097,2025-06-20,DEP-004,CAT-020,SUP-012,Direct Purchase,731,1.42,1.67,2025-06-30,2025-08-16,2025-08-23,Completed,Baku,2.9
PR-2024-00098,2024-07-08,DEP-008,CAT-007,SUP-082,Direct Purchase,295,3.21,3.62,2024-07-15,2024-09-03,,In Progress,Ganja,
PR-2024-00099,2024-10-09,DEP-007,CAT-021,SUP-041,Request for Quotation,8,386.49,367.89,2024-10-27,2024-12-15,2024-12-09,Completed,Baku,4.5
PR-2025-00100,2025-05-12,DEP-012,CAT-003,SUP-048,Request for Quotation,12,494.61,472.71,2025-05-27,2025-07-07,2025-07-17,Completed,Baku,4.6
PR-2025-00101,2025-10-17,DEP-004,CAT-018,SUP-081,Framework Agreement,12,16601.19,15090.41,2025-10-21,2025-11-29,2025-12-02,Completed,Baku,5.0
PR-2026-00102,2026-04-27,DEP-001,CAT-007,SUP-084,Direct Purchase,263,18.41,19.4,2026-05-03,2026-06-20,,Cancelled,Baku,
PR-2025-00103,2025-11-28,DEP-002,CAT-007,SUP-064,Open Tender,146,2.02,2.35,2025-12-17,2026-01-08,,Pending,Baku,
PR-2026-00104,2026-08-21,DEP-003,CAT-017,SUP-071,Direct Purchase,119,1327.52,1263.12,2026-08-30,2026-09-29,2026-10-06,Completed,Shirvan,3.7
PR-2026-00105,2026-08-06,DEP-010,CAT-002,SUP-107,Request for Quotation,66,1206.72,1177.14,2026-08-13,2026-09-26,2026-09-15,Completed,Baku,4.8
PR-2025-00106,2025-08-29,DEP-004,CAT-011,SUP-029,Request for Quotation,10,1416.83,1273.49,2025-09-01,2025-09-17,,In Progress,Baku,
PR-2024-00107,2024-08-23,DEP-012,CAT-008,SUP-070,Open Tender,397,97.14,107.15,2024-09-20,2024-10-29,,Pending,Baku,
PR-2024-00108,2024-04-09,DEP-007,CAT-003,SUP-107,Open Tender,64,326.97,296.76,2024-04-24,2024-06-19,,Pending,Baku,
PR-2026-00109,2026-08-18,DEP-007,CAT-022,SUP-053,Request for Quotation,48,1858.28,1778.04,2026-08-23,2026-09-16,,In Progress,Baku,
PR-2024-00110,2024-05-30,DEP-010,CAT-018,SUP-090,Open Tender,7,1241.46,1133.91,2024-06-10,2024-07-15,2024-07-12,Completed,Ganja,4.9
PR-2025-00111,2025-08-29,DEP-005,CAT-010,SUP-089,Framework Agreement,153,676.79,629.83,2025-09-07,2025-10-21,2025-10-28,Completed,Baku,3.0
PR-2025-00112,2025-01-27,DEP-010,CAT-018,SUP-078,Open Tender,2,1604.37,1383.61,2025-02-23,2025-03-10,2025-03-16,Completed,Baku,5.0
PR-2024-00113,2024-03-05,DEP-008,CAT-008,SUP-021,Open Tender,311,204.94,178.61,2024-03-20,2024-05-13,2024-05-07,Completed,Ganja,4.8
PR-2026-00114,2026-07-11,DEP-007,CAT-023,SUP-003,Open Tender,481,15.62,14.18,2026-07-21,2026-08-21,2026-08-23,Completed,Baku,5.0
PR-2025-00115,2025-06-14,DEP-010,CAT-004,SUP-001,Open Tender,59,1297.17,1392.27,2025-06-28,2025-08-22,2025-08-28,Completed,Baku,4.1
PR-2024-00116,2024-09-14,DEP-010,CAT-004,SUP-107,Open Tender,78,3030.97,2851.29,2024-10-01,2024-10-29,2024-10-26,Completed,Shirvan,4.2
PR-2026-00117,2026-06-25,DEP-008,CAT-012,SUP-024,Framework Agreement,12,316.31,280.25,2026-07-07,2026-09-03,2026-09-02,Completed,Lankaran,4.1
PR-2026-00118,2026-07-02,DEP-004,CAT-001,SUP-041,Open Tender,62,2865.15,2663.42,2026-07-27,2026-09-07,,Cancelled,Baku,
PR-2025-00119,2025-10-24,DEP-011,CAT-008,SUP-017,Request for Quotation,390,203.8,203.21,2025-11-03,2025-12-26,2025-12-28,Completed,Baku,3.4
PR-2025-00120,2025-09-25,DEP-012,CAT-007,SUP-009,Request for Quotation,980,2.09,2.01,2025-10-12,2025-11-10,,In Progress,Baku,
PR-2025-00121,2025-03-04,DEP-004,CAT-002,SUP-054,Request for Quotation,15,1375.24,1240.58,2025-03-17,2025-04-25,,In Progress,Baku,
PR-2026-00122,2026-01-31,DEP-001,CAT-001,SUP-054,Request for Quotation,50,2731.61,2532.52,2026-02-22,2026-04-18,,In Progress,Absheron,
PR-2025-00123,2025-03-21,DEP-010,CAT-005,SUP-041,Open Tender,68,1165.66,1074.49,2025-04-10,2025-05-31,2025-05-20,Completed,Mingachevir,4.7
PR-2025-00124,2025-12-25,DEP-006,CAT-016,SUP-056,Open Tender,1,1711.65,1585.89,2025-12-28,2026-01-16,2026-01-16,Completed,Baku,4.9
PR-2025-00125,2025-01-15,DEP-012,CAT-004,SUP-048,Open Tender,44,1994.54,2307.38,2025-01-30,2025-03-08,2025-03-03,Completed,Shirvan,4.4
PR-2024-00126,2024-04-01,DEP-007,CAT-021,SUP-049,Open Tender,1,766.46,704.86,2024-04-19,2024-05-13,2024-05-02,Completed,Shaki,4.1
PR-2026-00127,2026-03-04,DEP-004,CAT-016,SUP-083,Open Tender,5,21305.56,18649.39,2026-03-14,2026-05-03,2026-05-01,Completed,Baku,4.4
PR-2025-00128,2025-07-08,DEP-004,CAT-020,SUP-012,Request for Quotation,650,1.3,1.09,2025-07-14,2025-08-28,2025-09-09,Completed,Baku,3.2
PR-2024-00129,2024-01-07,DEP-010,CAT-004,SUP-001,Framework Agreement,51,263.32,248.68,2024-01-29,2024-03-20,2024-03-18,Completed,Baku,4.4
PR-2025-00130,2025-06-23,DEP-001,CAT-001,SUP-025,Request for Quotation,66,1362.55,1232.62,2025-07-03,2025-07-24,2025-07-31,Completed,Baku,5.0
PR-2025-00131,2025-12-12,DEP-006,CAT-008,SUP-084,Open Tender,635,203.26,234.73,2026-01-06,2026-01-26,2026-01-31,Completed,Baku,4.1
PR-2025-00132,2025-12-16,DEP-011,CAT-015,SUP-056,Open Tender,3,6319.58,5873.35,2026-01-11,2026-02-08,2026-02-08,Completed,Baku,4.6
PR-2025-00133,2025-02-25,DEP-002,CAT-016,SUP-006,Framework Agreement,3,11049.08,10397.69,2025-03-24,2025-03-31,2025-04-03,Completed,Baku,3.6
PR-2026-00134,2026-08-25,DEP-003,CAT-017,SUP-112,Open Tender,100,1439.07,1293.68,2026-09-12,2026-10-10,,In Progress,Baku,
PR-2025-00135,2025-07-13,DEP-004,CAT-003,SUP-001,Open Tender,70,302.66,271.39,2025-08-10,2025-09-08,2025-09-20,Completed,Baku,3.8
PR-2025-00136,2025-11-05,DEP-011,CAT-007,SUP-064,Open Tender,989,19.41,16.7,2025-12-01,2026-01-01,2026-01-06,Completed,Shirvan,5.0
PR-2024-00137,2024-01-04,DEP-002,CAT-015,SUP-056,Direct Purchase,2,9804.94,9597.12,2024-01-22,2024-01-29,2024-01-29,Completed,Baku,4.6
PR-2024-00138,2024-12-09,DEP-004,CAT-001,SUP-054,Open Tender,21,1254.96,1159.8,2024-12-13,2025-01-29,,Cancelled,Baku,
PR-2024-00139,2024-05-23,DEP-001,CAT-002,SUP-040,Open Tender,45,1502.01,1323.54,2024-06-03,2024-06-28,2024-06-25,Completed,Baku,5.0
PR-2026-00140,2026-04-18,DEP-005,CAT-010,SUP-013,Open Tender,156,337.08,318.47,2026-05-07,2026-06-15,2026-06-08,Completed,Baku,4.7
PR-2025-00141,2025-12-04,DEP-012,CAT-017,SUP-097,Direct Purchase,93,134.32,132.0,2025-12-23,2026-02-13,2026-02-11,Completed,Absheron,5.0
PR-2026-00142,2026-07-15,DEP-006,CAT-008,SUP-021,Request for Quotation,202,170.16,156.19,2026-07-19,2026-08-25,2026-09-01,Completed,Baku,5.0
PR-2024-00143,2024-05-29,DEP-004,CAT-014,SUP-115,Open Tender,6,611.84,568.42,2024-06-06,2024-07-23,2024-08-07,Completed,Baku,2.8
PR-2025-00144,2025-09-15,DEP-011,CAT-007,SUP-021,Open Tender,982,2.71,2.33,2025-10-05,2025-10-25,2025-11-02,Completed,Baku,4.5
PR-2025-00145,2025-03-17,DEP-004,CAT-020,SUP-044,Request for Quotation,643,2.25,2.05,2025-03-19,2025-05-03,2025-05-03,Completed,Shaki,4.4
PR-2024-00146,2024-03-16,DEP-009,CAT-011,SUP-024,Request for Quotation,9,6804.69,6439.27,2024-04-02,2024-04-28,2024-04-25,Completed,Baku,4.1
PR-2026-00147,2026-01-03,DEP-008,CAT-003,SUP-041,Open Tender,37,568.01,488.91,2026-01-05,2026-02-17,2026-02-14,Completed,Shirvan,4.4
PR-2025-00148,2025-06-27,DEP-007,CAT-023,SUP-063,Request for Quotation,79,25.71,22.83,2025-06-29,2025-08-10,,Cancelled,Baku,
PR-2024-00149,2024-10-26,DEP-001,CAT-006,SUP-054,Direct Purchase,47,4339.96,4664.59,2024-11-09,2024-12-29,,Cancelled,Lankaran,
PR-2025-00150,2025-06-02,DEP-003,CAT-017,SUP-093,Direct Purchase,8,469.68,471.43,2025-06-08,2025-07-29,2025-07-30,Completed,Baku,4.6
PR-2025-00151,2025-06-27,DEP-004,CAT-012,SUP-024,Open Tender,9,595.62,529.3,2025-07-01,2025-07-10,2025-07-14,Completed,Absheron,4.1
PR-2025-00152,2025-04-04,DEP-011,CAT-016,SUP-080,Framework Agreement,2,1880.02,1761.39,2025-04-23,2025-06-05,2025-05-26,Completed,Baku,4.3
PR-2025-00153,2025-03-03,DEP-008,CAT-001,SUP-107,Open Tender,14,2040.82,2344.93,2025-03-24,2025-05-17,2025-05-14,Completed,Sumgayit,3.8
PR-2026-00154,2026-06-11,DEP-006,CAT-008,SUP-086,Request for Quotation,691,90.66,84.16,2026-06-29,2026-08-01,2026-08-03,Completed,Shirvan,4.0
PR-2024-00155,2024-05-07,DEP-012,CAT-021,SUP-110,Direct Purchase,18,3082.09,2894.3,2024-05-11,2024-07-08,,Pending,Baku,
PR-2025-00156,2025-12-19,DEP-008,CAT-021,SUP-053,Direct Purchase,30,1882.37,1864.27,2026-01-16,2026-03-17,,In Progress,Shaki,
PR-2026-00157,2026-06-15,DEP-012,CAT-007,SUP-086,Open Tender,722,5.36,4.85,2026-06-24,2026-08-16,2026-08-05,Completed,Baku,4.8
PR-2025-00158,2025-05-19,DEP-009,CAT-013,SUP-115,Framework Agreement,12,27263.15,24439.21,2025-06-16,2025-08-09,2025-08-03,Completed,Absheron,3.2
PR-2026-00159,2026-03-05,DEP-010,CAT-024,SUP-047,Framework Agreement,435,69.44,63.78,2026-03-28,2026-04-28,2026-04-27,Completed,Absheron,5.0
PR-2024-00160,2024-05-24,DEP-010,CAT-002,SUP-048,Request for Quotation,53,1351.2,1262.66,2024-06-06,2024-08-01,2024-07-24,Completed,Sumgayit,4.8
PR-2025-00161,2025-02-12,DEP-001,CAT-006,SUP-040,Request for Quotation,57,531.66,534.88,2025-02-26,2025-03-18,2025-03-14,Completed,Baku,4.4
PR-2025-00162,2025-07-23,DEP-008,CAT-008,SUP-086,Request for Quotation,149,192.22,172.3,2025-07-31,2025-09-29,,In Progress,Shaki,
PR-2025-00163,2025-08-02,DEP-010,CAT-003,SUP-096,Direct Purchase,54,688.03,701.52,2025-08-08,2025-08-15,2025-08-19,Completed,Baku,3.9
PR-2025-00164,2025-05-18,DEP-001,CAT-001,SUP-007,Open Tender,18,1973.92,1796.38,2025-05-30,2025-06-15,2025-06-18,Completed,Shaki,4.6
